MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
383.814,4.450340000000002,3,4,7.387
383.814,4.450340000000002,3,4,6.523
383.814,4.450340000000002,3,4,5.107
482.9030000000001,3.614320000000001,3,6,6.77
482.9030000000001,3.614320000000001,3,6,7.398
482.9030000000001,3.614320000000001,3,6,6.357
369.43200000000013,4.772000000000004,1,6,5.032
283.287,2.3105600000000006,2,4,3.301
164.16,1.49,2,2,2.523
215.16799999999998,1.73096,1,5,4.018
539.9990000000001,3.228220000000002,3,7,5.275
249.22199999999998,1.40098,2,5,3.578
236.234,1.55914,2,5,6.903
214.224,2.13436,0,4,2.903
239.2779999999999,1.95376,0,4,3.204
186.17,1.52836,2,4,4.456
197.18999999999997,0.052200000000000135,4,4,3.046
542.0150000000001,3.57442,5,7,9.347
204.18499999999997,0.4900799999999999,3,4,5.0
281.231,1.4673399999999999,2,7,4.222
200.20100000000002,1.5102599999999997,1,5,3.222
230.22299999999998,1.83996,1,5,3.071
202.16899999999998,1.2339599999999997,3,5,5.523
292.34600000000006,3.806600000000002,1,5,5.097
218.16799999999998,1.5863800000000001,1,4,2.886
162.14799999999997,1.0062799999999998,2,2,2.866
189.17,1.3837799999999998,2,3,3.783
155.15999999999997,1.51216,0,3,3.602
172.16199999999998,2.25626,0,2,2.903
215.16799999999998,1.7309600000000003,1,5,3.903
326.791,4.587100000000003,1,5,7.854
183.214,2.08946,1,3,2.903
227.223,0.93896,2,4,3.204
250.30500000000004,3.2640200000000004,2,4,6.0
312.76400000000007,4.435700000000002,2,5,7.0
306.373,3.958000000000003,0,5,4.875
185.186,1.7351599999999998,2,4,3.456
179.17499999999998,0.8144999999999998,3,3,4.854
434.30100000000016,5.510200000000003,2,6,6.623
456.34800000000035,4.247200000000003,2,7,7.194
190.118,-1.30384,2,5,2.854
198.18099999999998,1.81536,1,3,3.367
511.9450000000004,2.895500000000001,4,7,7.658
218.16799999999998,1.1196599999999999,4,6,4.87
200.19699999999997,1.8313599999999997,1,4,3.602
559.6300000000002,4.824820000000003,3,7,8.347
559.6300000000002,4.824820000000003,3,7,7.0
250.30500000000004,2.8241000000000014,2,4,6.294
215.16799999999995,1.7309599999999998,1,5,3.347
526.0160000000002,4.5219400000000025,4,6,6.699
495.94600000000037,3.5295200000000015,3,6,6.678
470.53300000000024,3.3105200000000012,3,6,5.851
470.53300000000024,3.3105200000000012,3,6,5.301
470.53300000000024,3.3105200000000012,3,6,5.365
191.161,1.8172799999999998,1,2,3.079
201.18099999999998,1.49068,1,3,4.328
180.159,1.1956,3,3,2.921
525.9720000000001,3.203920000000001,4,7,8.187
525.9720000000001,3.203920000000001,4,7,7.398
525.9720000000001,3.203920000000001,4,7,5.688
250.30499999999998,2.9799000000000007,1,4,5.076
233.22299999999998,1.78248,2,4,2.959
170.171,1.82276,1,3,3.252
422.48900000000026,2.0685199999999995,2,6,4.699
172.187,1.5980599999999998,1,3,2.187
184.19799999999998,2.1257600000000005,0,3,2.903
509.97300000000024,3.919620000000001,3,6,7.886
509.97300000000024,3.919620000000001,3,6,6.699
509.97300000000024,3.919620000000001,3,6,5.125
188.18599999999998,0.7844799999999998,2,3,3.097
182.182,1.9296599999999997,0,3,4.222
186.17,1.52836,2,4,4.432
203.19699999999997,1.68678,1,3,3.079
413.7960000000001,3.8401200000000006,4,5,7.538
413.7960000000001,3.8401200000000006,4,5,5.301
413.7960000000001,3.8401200000000006,4,5,4.301
219.196,1.39238,2,4,3.488
216.196,1.53696,2,5,5.222
270.72300000000007,3.609000000000001,2,4,6.699
315.17400000000004,3.7181000000000015,2,4,7.357
200.197,2.0114600000000005,1,4,3.347
205.16899999999998,1.0893799999999998,3,4,4.125
441.8500000000001,4.1591200000000015,4,5,8.328
